BSE Code,Company Name
509845,RJ Shah & Company Ltd
509870,Shah Construction Company Ltd
509874,Shalimar Paints Ltd
509887,Sinnar Bidi Udyog Ltd
509895,Hindoostan Mills Ltd
509910,Southern Gas Ltd
509917,Technojet Consultants Ltd
509930,Supreme Industries Ltd
509945,Thacker & Company Ltd
509960,UP Hotels Ltd
509966,VST Industries Ltd
510245,Swasti Vinayaka Synthetics Ltd
511000,Madhusudan Securities Ltd
511012,Yamini Investments Company Ltd
511018,Milgrey Finance & Investments Ltd
511034,Jindal Drilling & Industries Ltd
511048,Kusam Electrical Industries Ltd
511060,Jumbo Finance Ltd
511066,Sakthi Finance Ltd
511074,Easy Fincorp Ltd
511076,Aeroflex Enterprises Ltd
511092,JMD Ventures Ltd
511096,Tivoli Construction Ltd
511108,Shiva Texyarn Ltd
511110,V B Desai Financial Services Ltd
511116,Quadrant Televentures Ltd
511122,First Custodian Fund India Ltd
511131,Kamanwala Housing Construction Ltd
511147,WSFx Global Pay Ltd
511153,Anjani Foods Ltd
511169,RKD Agri & Retail Ltd
511176,Parshwanath Corporation Ltd
511185,Rajvi Logitrade Ltd
511187,Millennium Online Solutions ( India ) Ltd
511194,ICDS Ltd
511196,Can Fin Homes Ltd
511200,Munoth Capital Markets Ltd
511208,IL&FS Investment Managers Ltd
511218,Shriram Finance Ltd
511243,Cholamandalam Investment and Finance Company Ltd
511246,Bombay Talkies Ltd
511254,Sagar Systech Ltd
511260,Iconik Sports And Events Ltd
511333,VLS Finance Ltd
511355,India Cements Capital Ltd
511359,Ad-Manum Finance Ltd
511377,Mehta Integrated Finance Ltd
511391,Inter Globe Finance Ltd
511401,Munoth Communication Ltd
511411,Shristi Infrastructure Development Corporation Ltd
511413,Crest Ventures Ltd
511431,Vakrangee Ltd
511441,Gujarat Credit Corporation Ltd
511447,Sylph Technologies Ltd
511451,Dharani Finance Ltd
511463,Alexander Stamps And Coin Ltd
511473,Indbank Merchant Banking Services Ltd
511493,Shrydus Industries Ltd
511501,Bharat Bhushan Finance & Commodity Brokers Ltd
511505,Capital Trust Ltd
511507,Ushakiran Finance Ltd
511509,Vivo Bio Tech Ltd
511523,Veerhealth Care Ltd
511525,Pan India Corporation Ltd
511533,Sahara Housingfina Corporation Ltd
511535,NDA Securities Ltd
511543,GSB Finance Ltd
511549,Morarka Finance Ltd
511551,Monarch Networth Capital Ltd
511557,Pro Fin Capital Services Ltd
511559,Times Guaranty Ltd
511563,Sanchay Finvest Ltd
511571,Som Datt Finance Corporation Ltd
511577,Savani Financials Ltd
511585,Befound Movement Ltd
511589,Avonmore Capital & Management Services Ltd
511593,Libord Finance Ltd
511601,Yash Management & Satellite Ltd
511605,Arihant Capital Markets Ltd
511609,ISL Consulting Ltd
511611,DCM Financial Services Ltd
511626,RR Financial Consultants Ltd
511628,Fedders Holding Ltd
511630,Sambhaav Media Ltd
511634,Dugar Housing Developments Ltd
511636,DJS Stock & Shares Ltd
511644,Omega Interactive Technologies Ltd
511654,Sugal & Damani Share Brokers Ltd
511658,Nettlinx Ltd
511664,BGIL Films & Technologies Ltd
511672,Scan Steels Ltd
511676,GIC Housing Finance Ltd
511688,Mathew Easow Research Securities Ltd
511692,Ajcon Global Services Ltd
511696,Chartered Capital & Investment Ltd
511700,Standard Capital Markets Ltd
511702,YOGI Ltd
511710,Cubical Financial Services Ltd
511712,Relic Technologies Ltd
511714,Nimbus Projects Ltd
511716,Invigorated Business Consulting Ltd
511724,Baid Finserv Ltd
511726,Vipul Ltd
511728,KZ Leasing & Finance Ltd
511734,Pasupati Fincap Ltd
511738,Mehta Securities Ltd
511740,Ruparel Food Products Ltd
511742,Ugro Capital Ltd
511754,Shalibhadra Finance Ltd
511756,Abirami Financial Services India Ltd
511758,Mansi Finance (Chennai) Ltd
511764,Aastamangalam Finance Ltd
511766,Muthoot Capital Services Ltd
511768,Master Trust Ltd
512004,Nilkanth Engineering Ltd
512008,EFC (I) Ltd
512014,Sobhagya Mercantile Ltd
512018,CNI Research Ltd
512020,Saraswati Commercial India Ltd
512022,Winro Commercial India Ltd
512025,Banganga Paper Industries Ltd
512026,Vega Jewellers Ltd
512036,Kapil Cotex Ltd
512038,TCC Concept Ltd
512047,Royal India Corporation Ltd
512048,Dhansafal Finserve Ltd
512060,Ventura Guaranty Ltd
512062,Sanmitra Commercial Ltd
512063,Wardwizard Healthcare Ltd
